,name,frequency
149,Rumyántsev,8
150,Cyril Vladímirovich,8
151,Másha,8
152,Kaysárov,8
153,Malvíntseva,7
154,Peter Kirílych,7
155,Bolkónskaya,7
156,Schmidt,7
157,Savélich,7
158,Likhachëv,7
159,Mortemart,7
160,Nastásya,7
161,Zhilínski,7
162,Mamónov,7
163,Makárin,7
164,Erzá,7
165,Ostermann,7
166,Zdrzhinski,7
167,Malásha,7
168,Michael Ilariónovich,6
169,Paul,6
170,Kámenski,6
171,Friant,6
172,Túchkov,6
173,Caulaincourt,6
174,Agraféna,6
175,Bazdéev,6
176,Lauriston,6
177,Andrúsha,6
178,Louis XIV,6
179,Fabvier,6
180,Fédya,6
181,Klyucharëv,6
182,Katie,6
183,Obolénski,6
184,Tsarévich,6
185,Shcherbínin,6
186,Mortier,6
187,Tolstóy,6
188,Stein,6
189,Poniatowski,6
190,Schérer,5
191,Bóry,5
192,Achilles,5
193,Mítka,5
194,Terénty,5
195,Marie,5
196,Markóv,5
197,Grékov,5
198,Chateaubriand,5
199,Golítsyn,5
200,Semënov,5
201,Kírsten,5
202,Talleyrand,5
203,Moreau,5
204,Peter Kirílovich,5
205,Louis XVI,5
206,Broussier,5
207,Vyazmítinov,5
208,Leppich,5
209,Nataly,5
210,De Staël,5
211,Novosíltsev,5
212,Apráksina,5
213,Ivánushka,5
214,Theodosia,5
215,Andréevich,5
216,Claparède,5
217,Gérard,5
218,Morand,5
219,Junot,5
220,Valúev,5
221,Belliard,5
222,Savary,4
223,Míshka,4
224,Voltaire,4
225,Gabriel,4
226,Andrew Bolkónski,4
227,Newton,4
228,Joseph Bazdéev,4
229,Shcherbáty,4
230,Daniel Teréntich,4
231,Louisa Ivánovna,4
232,Adráksin,4
233,Makéev,4
234,Napoleon III,4
235,Khvóstikov,4
236,Rousseau,4
237,Peter Nikoláevich,4
238,Vicomte,4
239,Stolýpin,4
240,Campan,4
241,Dórokhov,4
242,Bítski,4
243,Gervais,4
244,Mary Nikoláevna,4
245,Von Toll,4
246,Copernicus,4
247,Schoss,4
248,Franz,4
249,Sídorov,4
250,Dessaix,4
251,Kutáysov,4
252,Borodinó,4
253,Wittgenstein,4
254,Sophie,4
255,Theodore Iványch,4
256,Duport,4
257,Rugáy,4
258,Narýshkin,4
259,Nikíta,4
260,Przebyszéwski,4
261,Auersperg,4
262,Morio,4
263,Lannes,4
264,Rook,3
265,Chance,3
266,Mítya,3
267,Anna Makárovna,3
268,Goliath,3
269,Lelorgne,3
270,Jackdaw,3
271,Antón,3
272,Sávishna,3
273,Anna Ignátyevna,3
274,Mikháylovna,3
275,Mouton,3
276,Sergéevich,3
277,Lopukhín,3
278,Shishkóv,3
279,Aníska,3
280,Fóka,3
281,Metternich,3
282,Matvévna,3
283,Yákovlev,3
284,Catherine Petróvna,3
285,Karágins,3
286,Sokolóv,3
287,Bekleshëv,3
288,Tutólmin,3
289,Tarás,3
290,Kurákin,3
291,Tormásov,3
292,Repnín,3
293,Antónovna,3
294,Iványch,3
295,Czartorýski,3
296,Potëmkin,3
297,Monsieur de Jobert,3
298,Anna Semënovna,3
299,Larrey,3
300,Karágina,3
301,Comte,3
302,Philip,3
303,Melyukóvs,3
304,Lëlya,3
305,D dIdeville Ideville,3
306,Uvárka,3
307,Pwince,3
308,Scherbínin,3
309,David,3
310,Efím,3
311,Ignát,3
312,Theodore Vasílyevich,3
313,Ekonómov,3
314,Akhrosímova,3
315,Davýdov,3
316,Moses,2
317,Hercules,2
318,Smolyanínov,2
319,Natálya,2
320,Lanskóy,2
321,Ismail,2
322,Ilyníchna,2
323,Peter Petróvich,2
324,Julie Drubetskáya,2
325,Vincent,2
326,André,2
327,Dohktúrov,2
328,Saltykóv,2
329,Firhoff,2
330,Peter Ivánovich,2
331,Potëmkins,2
332,Schneider,2
333,Vogel,2
334,Buckle,2
335,Bruin,2
336,Mademoiselle,2
337,Duroc,2
338,Sergius,2
339,Michael Mítrich,2
340,Petróv,2
341,Natalie Rostóva,2
342,Ilyúshka,2
343,Vasílevich,2
344,Amélie,2
345,Leo Tolstoy,2
346,Gervinus,2
347,Paul Ivánovich,2
348,Tatáwinova,2
349,Catherine Semënovna,2
350,Brünn,2
351,Peter the Great,2
352,Suvórovs,2
353,Charles IX,2
354,Napoléon,2
355,Semënova,2
356,Daniel Cooper,2
357,Vesénny,2
358,Diana,2
359,Seslávin,2
360,Bagovút,2
361,Stevens,2
362,Karpúshka,2
363,Constantine Pávlovich,2
364,Olga,2
365,Pryánichnikov,2
366,Mary Ivánovna,2
367,Pétrusha,2
368,Granddad,2
369,Gúryev,2
370,Bismarck,2
371,Misha,2
372,Strógonov,2
373,Wintzingerodes,2
374,Nikoláevich,2
375,Zaletáev,2
376,Nicholas Andréevich,2
377,Pierre Bezúkhov,2
378,Serenity,2
379,Mavrúshka,2
380,Evstáfey,2
381,Feoktíst,2
382,Demyán,2
383,Karl Ivánich,2
384,Kurágina,2
385,Fichte,2
386,Plutarch,2
387,Monsieur Buonaparte,2
388,Héloïse,2
389,Mary Alexéevna,2
390,Barbara Ivánovna,2
391,Aline,2
392,Bondarchúk,2
393,Síla,2
394,Karl,2
395,Gideon,2
396,So,2
397,Napoleon Bonaparte,2
398,Bondarénko,2
399,Stepán,2
400,Tit,2
401,Prokófy,2
402,Vladímir,2
403,Vewy,2
404,Sukhtélen,2
405,Amalek,2
406,Sophia Danílovna,2
407,Jerome,2
408,Chekmár,2
409,Villeneuve,2
410,Photius,2
411,Louis XVIII,2
412,Napoleon I,2
413,Mary Bolkónskaya,2
414,De Turenne,2
415,D dEnghien Enghien,2
416,Peter Ilýnich,2
417,Mimi,2
418,Eýkhen,2
