sid,sentence
142,"I will sing you that song now, comrades."
143,"I am old and my voice is hoarse, but when I have taught you the tune, you can sing it better for yourselves."
144,"It is called Beasts of England ."""
145,Old Major cleared his throat and began to sing.
146,"As he had said, his voice was hoarse, but he sang well enough, and it was a stirring tune, something between Clementine and La Cucuracha ."
147,The words ran:
148,"Beasts of England, beasts of Ireland, Beasts of every land and clime, Hearken to my joyful tidings Of the golden future time."
149,"Soon or late the day is coming, Tyrant Man shall be o'erthrown, And the fruitful fields of England Shall be trod by beasts alone."
150,"Rings shall vanish from our noses, And the harness from our back, Bit and spur shall rust forever, Cruel whips no more shall crack."
151,"Riches more than mind can picture, Wheat and barley, oats and hay, Clover, beans, and mangel-wurzels Shall be ours upon that day."
152,"Bright will shine the fields of England, Purer shall its waters be, Sweeter yet shall blow its breezes On the day that sets us free."
153,"For that day we all must labour, Though we die before it break;"
154,"Cows and horses, geese and turkeys, All must toil for freedom's sake."
155,"Beasts of England, beasts of Ireland, Beasts of every land and clime, Hearken well and spread my tidings Of the golden future time."
156,The singing of this song threw the animals into the wildest excitement.
157,"Almost before Major had reached the end, they had begun singing it for themselves."
158,"Even the stupidest of them had already picked up the tune and a few of the words, and as for the clever ones, such as the pigs and dogs, they had the entire song by heart within a few minutes."
159,"And then, after a few preliminary tries, the whole farm burst out into Beasts of England in tremendous unison."
160,"The cows lowed it, the dogs whined it, the sheep bleated it, the horses whinnied it, the ducks quacked it."
161,"They were so delighted with the song that they sang it right through five times in succession, and might have continued singing it all night if they had not been interrupted."
162,"Unfortunately, the uproar awoke Mr."
163,"Jones, who sprang out of bed, making sure that there was a fox in the yard."
164,"He seized the gun which always stood in a corner of his bedroom, and let fly a charge of number 6 shot into the darkness."
165,The pellets buried themselves in the wall of the barn and the meeting broke up hurriedly.
166,Everyone fled to his own sleeping-place.
167,"The birds jumped on to their perches, the animals settled down in the straw, and the whole farm was asleep in a moment."
169,Chapter Two
170,Three nights later old Major died peacefully in his sleep.
171,His body was buried at the foot of the orchard.
172,This was early in March.
173,During the next three months there was much secret activity.
174,Major's speech had given to the more intelligent animals on the farm a completely new outlook on life.
175,"They did not know when the Rebellion predicted by Major would take place, they had no reason for thinking that it would be within their own lifetime, but they saw clearly that it was their duty to prepare for it."
176,"The work of teaching and organising the others fell naturally upon the pigs, who were generally recognised as being the cleverest of the animals."
177,"Pre-eminent among the pigs were two young boars named Snowball and Napoleon, whom Mr."
178,Jones was breeding up for sale.
179,"Napoleon was a large, rather fierce-looking Berkshire boar, the only Berkshire on the farm, not much of a talker, but with a reputation for getting his own way."
180,"Snowball was a more vivacious pig than Napoleon, quicker in speech and more inventive, but was not considered to have the same depth of character."
181,All the other male pigs on the farm were porkers.
182,"The best known among them was a small fat pig named Squealer, with very round cheeks, twinkling eyes, nimble movements, and a shrill voice."
183,"He was a brilliant talker, and when he was arguing some difficult point he had a way of skipping from side to side and whisking his tail which was somehow very persuasive."
184,The others said of Squealer that he could turn black into white.
185,"These three had elaborated old Major's teachings into a complete system of thought, to which they gave the name of Animalism."
186,"Several nights a week, after Mr."
187,"Jones was asleep, they held secret meetings in the barn and expounded the principles of Animalism to the others."
188,At the beginning they met with much stupidity and apathy.
189,Some of the animals talked of the of loyalty to Mr.
190,"Jones, whom they referred to as ""Master,"" or made elementary remarks such as ""Mr."
191,Jones feeds us.
192,"If he were gone, we should starve to death."""
193,"Others asked such questions as ""Why should we care what happens after we are dead?"""
194,"or ""If this Rebellion is to happen anyway, what difference does it make whether we work for it or not?"","
195,and the pigs had great difficulty in making them see that this was contrary to the spirit of Animalism.
196,"The stupidest questions of all were asked by Mollie, the white mare."
197,The very first question she asked Snowball was:
198,"""Will there still be sugar after the Rebellion?"""
199,"""No,"" said Snowball firmly."
200,"""We have no means of making sugar on this farm."
201,"Besides, you do not need sugar."
202,"You will have all the oats and hay you want."""
203,"""And shall I still be allowed to wear ribbons in my mane?"""
204,asked Mollie.
205,"""Comrade,"" said Snowball, ""those ribbons that you are so devoted to are the badge of slavery."
206,"Can you not understand that liberty is worth more than ribbons?"""
207,"Mollie agreed, but she did not sound very convinced."
208,"The pigs had an even harder struggle to counteract the lies put about by Moses, the tame raven."
209,"Moses, who was Mr."
210,"Jones's especial pet, was a spy and a tale-bearer, but he was also a clever talker."
211,"He claimed to know of the existence of a mysterious country called Sugarcandy Mountain, to which all animals went when they died."
212,"It was situated somewhere up in the sky, a little distance beyond the clouds, Moses said."
213,"In Sugarcandy Mountain it was Sunday seven days a week, clover was in season all the year round, and lump sugar and linseed cake grew on the hedges."
214,"The animals hated Moses because he told tales and did no work, but some of them believed in Sugarcandy Mountain, and the pigs had to argue very hard to persuade them that there was no such place."
215,"Their most faithful disciples were the two cart-horses, Boxer and Clover."
216,"These two had great difficulty in thinking anything out for themselves, but having once accepted the pigs as their teachers, they absorbed everything that they were told, and passed it on to the other animals by simple arguments."
217,"They were unfailing in their attendance at the secret meetings in the barn, and led the singing of Beasts of England , with which the meetings always ended."
218,"Now, as it turned out, the Rebellion was achieved much earlier and more easily than anyone had expected."
219,In past years Mr.
220,"Jones, although a hard master, had been a capable farmer, but of late he had fallen on evil days."
221,"He had become much disheartened after losing money in a lawsuit, and had taken to drinking more than was good for him."
222,"For whole days at a time he would lounge in his Windsor chair in the kitchen, reading the newspapers, drinking, and occasionally feeding Moses on crusts of bread soaked in beer."
223,"His men were idle and dishonest, the fields were full of weeds, the buildings wanted roofing, the hedges were neglected, and the animals were underfed."
224,June came and the hay was almost ready for cutting.
225,"On Midsummer's Eve, which was a Saturday, Mr."
226,Jones went into Willingdon and got so drunk at the Red Lion that he did not come back till midday on Sunday.
227,"The men had milked the cows in the early morning and then had gone out rabbiting, without bothering to feed the animals."
228,When Mr.
229,"Jones got back he immediately went to sleep on the drawing-room sofa with the News of the World over his face, so that when evening came, the animals were still unfed."
230,At last they could stand it no longer.
231,One of the cows broke in the door of the store-shed with her horn and all the animals began to help themselves from the bins.
232,It was just then that Mr.
233,Jones woke up.
234,"The next moment he and his four men were in the store-shed with whips in their hands, lashing out in all directions."
235,This was more than the hungry animals could bear.
236,"With one accord, though nothing of the kind had been planned beforehand, they flung themselves upon their tormentors."
237,Jones and his men suddenly found themselves being butted and kicked from all sides.
238,The situation was quite out of their control.
239,"They had never seen animals behave like this before, and this sudden uprising of creatures whom they were used to thrashing and maltreating just as they chose, frightened them almost out of their wits."
240,After only a moment or two they gave up trying to defend themselves and took to their heels.
241,"A minute later all five of them were in full flight down the cart-track that led to the main road, with the animals pursuing them in triumph."
242,Mrs.
243,"Jones looked out of the bedroom window, saw what was happening, hurriedly flung a few possessions into a carpet bag, and slipped out of the farm by another way."
244,"Moses sprang off his perch and flapped after her, croaking loudly."
245,Meanwhile the animals had chased Jones and his men out on to the road and slammed the five-barred gate behind them.
246,"And so, almost before they knew what was happening, the Rebellion had been successfully carried through:"
247,"Jones was expelled, and the Manor Farm was theirs."
248,For the first few minutes the animals could hardly believe in their good fortune.
249,"Their first act was to gallop in a body right round the boundaries of the farm, as though to make quite sure that no human being was hiding anywhere upon it;"
250,then they raced back to the farm buildings to wipe out the last traces of Jones's hated reign.
251,The harness-room at the end of the stables was broken open;
252,"the bits, the nose-rings, the dog-chains, the cruel knives with which Mr."
253,"Jones had been used to castrate the pigs and lambs, were all flung down the well."
254,"The reins, the halters, the blinkers, the degrading nosebags, were thrown on to the rubbish fire which was burning in the yard."
255,So were the whips.
256,All the animals capered with joy when they saw the whips going up in flames.
257,Snowball also threw on to the fire the ribbons with which the horses' manes and tails had usually been decorated on market days.
258,"""Ribbons,"" he said, ""should be considered as clothes, which are the mark of a human being."
259,"All animals should go naked."""
260,"When Boxer heard this he fetched the small straw hat which he wore in summer to keep the flies out of his ears, and flung it on to the fire with the rest."
261,In a very little while the animals had destroyed everything that reminded them of Mr.
262,Jones.
263,"Napoleon then led them back to the store-shed and served out a double ration of corn to everybody, with two biscuits for each dog."
264,"Then they sang Beasts of England from end to end seven times running, and after that they settled down for the night and slept as they had never slept before."
265,"But they woke at dawn as usual, and suddenly remembering the glorious thing that had happened, they all raced out into the pasture together."
266,A little way down the pasture there was a knoll that commanded a view of most of the farm.
267,The animals rushed to the top of it and gazed round them in the clear morning light.
268,"Yes, it was theirs—everything that they could see was theirs!"
269,"In the ecstasy of that thought they gambolled round and round, they hurled themselves into the air in great leaps of excitement."
270,"They rolled in the dew, they cropped mouthfuls of the sweet summer grass, they kicked up clods of the black earth and snuffed its rich scent."
271,"Then they made a tour of inspection of the whole farm and surveyed with speechless admiration the ploughland, the hayfield, the orchard, the pool, the spinney."
272,"It was as though they had never seen these things before, and even now they could hardly believe that it was all their own."
273,Then they filed back to the farm buildings and halted in silence outside the door of the farmhouse.
274,"That was theirs too, but they were frightened to go inside."
275,"After a moment, however, Snowball and Napoleon butted the door open with their shoulders and the animals entered in single file, walking with the utmost care for fear of disturbing anything."
276,"They tip-toed from room to room, afraid to speak above a whisper and gazing with a kind of awe at the unbelievable luxury, at the beds with their feather mattresses, the looking-glasses, the horsehair sofa, the Brussels carpet, the lithograph of Queen Victoria over the drawing-room mantelpiece."
277,They were just coming down the stairs when Mollie was discovered to be missing.
278,"Going back, the others found that she had remained behind in the best bedroom."
279,She had taken a piece of blue ribbon from Mrs.
280,"Jones's dressing-table, and was holding it against her shoulder and admiring herself in the glass in a very foolish manner."
281,"The others reproached her sharply, and they went outside."
282,"Some hams hanging in the kitchen were taken out for burial, and the barrel of beer in the scullery was stove in with a kick from Boxer's hoof, otherwise nothing in the house was touched."
283,A unanimous resolution was passed on the spot that the farmhouse should be preserved as a museum.
284,All were agreed that no animal must ever live there.
285,"The animals had their breakfast, and then Snowball and Napoleon called them together again."
286,"""Comrades,"" said Snowball, ""it is half-past six and we have a long day before us."
287,Today we begin the hay harvest.
288,"But there is another matter that must be attended to first."""
289,The pigs now revealed that during the past three months they had taught themselves to read and write from an old spelling book which had belonged to Mr.
290,Jones's children and which had been thrown on the rubbish heap.
291,Napoleon sent for pots of black and white paint and led the way down to the five-barred gate that gave on to the main road.
292,"Then Snowball (for it was Snowball who was best at writing) took a brush between the two knuckles of his trotter, painted out MANOR FARM from the top bar of the gate and in its place painted ANIMAL FARM."
293,This was to be the name of the farm from now onwards.
294,"After this they went back to the farm buildings, where Snowball and Napoleon sent for a ladder which they caused to be set against the end wall of the big barn."
295,They explained that by their studies of the past three months the pigs had succeeded in reducing the principles of Animalism to Seven Commandments.
296,These Seven Commandments would now be inscribed on the wall;
297,they would form an unalterable law by which all the animals on Animal Farm must live for ever after.
298,"With some difficulty (for it is not easy for a pig to balance himself on a ladder) Snowball climbed up and set to work, with Squealer a few rungs below him holding the paint-pot."
299,The Commandments were written on the tarred wall in great white letters that could be read thirty yards away.
300,They ran thus:
301,THE SEVEN COMMANDMENTS 1.
302,Whatever goes upon two legs is an enemy.
303,2.
304,"Whatever goes upon four legs, or has wings, is a friend."
305,3.
306,No animal shall wear clothes.
307,4.
308,No animal shall sleep in a bed.
309,5.
310,No animal shall drink alcohol.
311,6.
312,No animal shall kill any other animal.
313,7.
314,All animals are equal.
315,"It was very neatly written, and except that ""friend"" was written ""freind"" and one of the ""S's"" was the wrong way round, the spelling was correct all the way through."
316,Snowball read it aloud for the benefit of the others.
317,"All the animals nodded in complete agreement, and the cleverer ones at once began to learn the Commandments by heart."
318,"""Now, comrades,"" cried Snowball, throwing down the paint-brush, ""to the hayfield!"
319,"Let us make it a point of honour to get in the harvest more quickly than Jones and his men could do."""
320,"But at this moment the three cows, who had seemed uneasy for some time past, set up a loud lowing."
321,"They had not been milked for twenty-four hours, and their udders were almost bursting."
322,"After a little thought, the pigs sent for buckets and milked the cows fairly successfully, their trotters being well adapted to this task."
323,Soon there were five buckets of frothing creamy milk at which many of the animals looked with considerable interest.
324,"""What is going to happen to all that milk?"""
325,said someone.
326,"""Jones used sometimes to mix some of it in our mash,"" said one of the hens."
327,"""Never mind the milk, comrades!"""
328,"cried Napoleon, placing himself in front of the buckets."
329,"""That will be attended to."
330,The harvest is more important.
331,Comrade Snowball will lead the way.
332,I shall follow in a few minutes.
333,"Forward, comrades!"
334,"The hay is waiting."""
335,"So the animals trooped down to the hayfield to begin the harvest, and when they came back in the evening it was noticed that the milk had disappeared."
337,Chapter Three
338,How they toiled and sweated to get the hay in!
339,"But their efforts were rewarded, for the harvest was an even bigger success than they had hoped."
340,Sometimes the work was hard;
341,"the implements had been designed for human beings and not for animals, and it was a great drawback that no animal was able to use any tool that involved standing on his hind legs."
342,But the pigs were so clever that they could think of a way round every difficulty.
343,"As for the horses, they knew every inch of the field, and in fact understood the business of mowing and raking far better than Jones and his men had ever done."
344,"The pigs did not actually work, but directed and supervised the others."
345,With their superior knowledge it was natural that they should assume the leadership.
346,"Boxer and Clover would harness themselves to the cutter or the horse-rake (no bits or reins were needed in these days, of course) and tramp steadily round and round the field with a pig walking behind and calling out ""Gee up, comrade!"""
347,"or ""Whoa back, comrade!"""
348,as the case might be.
349,And every animal down to the humblest worked at turning the hay and gathering it.
350,"Even the ducks and hens toiled to and fro all day in the sun, carrying tiny wisps of hay in their beaks."
351,In the end they finished the harvest in two days' less time than it had usually taken Jones and his men.
352,"Moreover, it was the biggest harvest that the farm had ever seen."
353,There was no wastage whatever;
354,the hens and ducks with their sharp eyes had gathered up the very last stalk.
355,And not an animal on the farm had stolen so much as a mouthful.
356,All through that summer the work of the farm went like clockwork.
357,The animals were happy as they had never conceived it possible to be.
358,"Every mouthful of food was an acute positive pleasure, now that it was truly their own food, produced by themselves and for themselves, not doled out to them by a grudging master."
359,"With the worthless parasitical human beings gone, there was more for everyone to eat."
360,"There was more leisure too, inexperienced though the animals were."
361,"They met with many difficulties—for instance, later in the year, when they harvested the corn, they had to tread it out in the ancient style and blow away the chaff with their breath, since the farm possessed no threshing machine—but the pigs with their cleverness and Boxer with his tremendous muscles always pulled them through."
362,Boxer was the admiration of everybody.
363,"He had been a hard worker even in Jones's time, but now he seemed more like three horses than one;"
364,there were days when the entire work of the farm seemed to rest upon his mighty shoulders.
365,"From morning to night he was pushing and pulling, always at the spot where the work was hardest."
366,"He had made an arrangement with one of the cockerels to call him in the mornings half an hour earlier than anyone else, and would put in some volunteer labour at whatever seemed to be most needed, before the regular day's work began."
367,"His answer to every problem, every setback, was ""I will work harder!""—which"
368,he had adopted as his personal motto.
369,But everyone worked according to his capacity.
370,"The hens and ducks, for instance, saved five bushels of corn at the harvest by gathering up the stray grains."
371,"Nobody stole, nobody grumbled over his rations, the quarrelling and biting and jealousy which had been normal features of life in the old days had almost disappeared."
372,Nobody shirked—or almost nobody.
373,"Mollie, it was true, was not good at getting up in the mornings, and had a way of leaving work early on the ground that there was a stone in her hoof."
374,And the behaviour of the cat was somewhat peculiar.
375,It was soon noticed that when there was work to be done the cat could never be found.
376,"She would vanish for hours on end, and then reappear at meal-times, or in the evening after work was over, as though nothing had happened."
377,"But she always made such excellent excuses, and purred so affectionately, that it was impossible not to believe in her good intentions."
378,"Old Benjamin, the donkey, seemed quite unchanged since the Rebellion."
379,"He did his work in the same slow obstinate way as he had done it in Jones's time, never shirking and never volunteering for extra work either."
380,About the Rebellion and its results he would express no opinion.
381,"When asked whether he was not happier now that Jones was gone, he would say only ""Donkeys live a long time."
382,"None of you has ever seen a dead donkey,"" and the others had to be content with this cryptic answer."
383,On Sundays there was no work.
384,"Breakfast was an hour later than usual, and after breakfast there was a ceremony which was observed every week without fail."
385,First came the hoisting of the flag.
386,Snowball had found in the harness-room an old green tablecloth of Mrs.
387,Jones's and had painted on it a hoof and a horn in white.
388,This was run up the flagstaff in the farmhouse garden every Sunday morning.
389,"The flag was green, Snowball explained, to represent the green fields of England, while the hoof and horn signified the future Republic of the Animals which would arise when the human race had been finally overthrown."
390,After the hoisting of the flag all the animals trooped into the big barn for a general assembly which was known as the Meeting.
391,Here the work of the coming week was planned out and resolutions were put forward and debated.
392,It was always the pigs who put forward the resolutions.
393,"The other animals understood how to vote, but could never think of any resolutions of their own."
394,Snowball and Napoleon were by far the most active in the debates.
395,But it was noticed that these two were never in agreement:
396,"whatever suggestion either of them made, the other could be counted on to oppose it."
397,"Even when it was resolved—a thing no one could object to in itself—to set aside the small paddock behind the orchard as a home of rest for animals who were past work, there was a stormy debate over the correct retiring age for each class of animal."
398,"The Meeting always ended with the singing of Beasts of England , and the afternoon was given up to recreation."
399,The pigs had set aside the harness-room as a headquarters for themselves.
400,"Here, in the evenings, they studied blacksmithing, carpentering, and other necessary arts from books which they had brought out of the farmhouse."
401,Snowball also busied himself with organising the other animals into what he called Animal Committees.
402,He was indefatigable at this.
403,"He formed the Egg Production Committee for the hens, the Clean Tails League for the cows, the Wild Comrades' Re-education Committee (the object of this was to tame the rats and rabbits), the Whiter Wool Movement for the sheep, and various others, besides instituting classes in reading and writing."
404,"On the whole, these projects were a failure."
405,"The attempt to tame the wild creatures, for instance, broke down almost immediately."
406,"They continued to behave very much as before, and when treated with generosity, simply took advantage of it."
407,The cat joined the Re-education Committee and was very active in it for some days.
408,She was seen one day sitting on a roof and talking to some sparrows who were just out of her reach.
409,She was telling them that all animals were now comrades and that any sparrow who chose could come and perch on her paw;
410,but the sparrows kept their distance.
411,"The reading and writing classes, however, were a great success."
412,By the autumn almost every animal on the farm was literate in some degree.
413,"As for the pigs, they could already read and write perfectly."
414,"The dogs learned to read fairly well, but were not interested in reading anything except the Seven Commandments."
415,"Muriel, the goat, could read somewhat better than the dogs, and sometimes used to read to the others in the evenings from scraps of newspaper which she found on the rubbish heap."
416,"Benjamin could read as well as any pig, but never exercised his faculty."
417,"So far as he knew, he said, there was nothing worth reading."
418,"Clover learnt the whole alphabet, but could not put words together."
419,Boxer could not get beyond the letter D.
420,"He would trace out A, B, C, D, in the dust with his great hoof, and then would stand staring at the letters with his ears back, sometimes shaking his forelock, trying with all his might to remember what came next and never succeeding."
421,"On several occasions, indeed, he did learn E, F, G, H, but by the time he knew them, it was always discovered that he had forgotten A, B, C, and D."
422,"Finally he decided to be content with the first four letters, and used to write them out once or twice every day to refresh his memory."
423,Mollie refused to learn any but the six letters which spelt her own name.
424,"She would form these very neatly out of pieces of twig, and would then decorate them with a flower or two and walk round them admiring them."
425,None of the other animals on the farm could get further than the letter A.
426,"It was also found that the stupider animals, such as the sheep, hens, and ducks, were unable to learn the Seven Commandments by heart."
427,"After much thought Snowball declared that the Seven Commandments could in effect be reduced to a single maxim, namely:"
428,"""Four legs good, two legs bad."""
429,"This, he said, contained the essential principle of Animalism."
430,Whoever had thoroughly grasped it would be safe from human influences.
431,"The birds at first objected, since it seemed to them that they also had two legs, but Snowball proved to them that this was not so."
432,"""A bird's wing, comrades,"" he said, ""is an organ of propulsion and not of manipulation."
433,It should therefore be regarded as a leg.
434,"The distinguishing mark of Man is the hand , the instrument with which he does all his mischief."""
435,"The birds did not understand Snowball's long words, but they accepted his explanation, and all the humbler animals set to work to learn the new maxim by heart."
