sid,sentence
92,"To see the dingy cloud come drooping down,         obscuring everything, one might have thought that Nature lived hard by,         and was brewing on a large scale."
93,"The door of Scrooge’s counting-house was open that he might keep         his eye upon his clerk, who in a dismal little cell beyond, a sort of         tank, was copying letters."
94,"Scrooge had a very small fire, but the clerk’s         fire was so very much smaller that it looked like one coal."
95,"But he         couldn’t replenish it, for Scrooge kept the coal-box in his own         room;"
96,"and so surely as the clerk came in with the shovel, the master         predicted that it would be necessary for them to part."
97,"Wherefore the         clerk put on his white comforter, and tried to warm himself at the         candle;"
98,"in which effort, not being a man of a strong imagination, he         failed."
99,"“A merry Christmas, uncle!"
100,God save you!”
101,"cried a cheerful         voice."
102,"It was the voice of Scrooge’s nephew, who came upon him so         quickly that this was the first intimation he had of his approach."
103,“Bah!”
104,"said Scrooge, “Humbug!”"
105,"He had so heated himself with rapid walking in the fog and frost, this         nephew of Scrooge’s, that he was all in a glow;"
106,"his face was ruddy         and handsome;"
107,"his eyes sparkled, and his breath smoked again."
108,"“Christmas a humbug, uncle!”"
109,"said Scrooge’s nephew. "
110,"       “You don’t mean that, I am sure?”"
111,"“I do,” said Scrooge."
112,“Merry Christmas!
113,"What right         have you to be merry?"
114,What reason have you to be merry?
115,"You’re         poor enough.”"
116,"“Come, then,” returned the nephew gaily."
117,"“What right         have you to be dismal?"
118,What reason have you to be morose?
119,"You’re         rich enough.”"
120,"Scrooge having no better answer ready on the spur of the moment, said,         “Bah!”"
121,again;
122,and followed it up with “Humbug.”
123,"“Don’t be cross, uncle!”"
124,said the nephew.
125,"“What else can I be,” returned the uncle, “when I live         in such a world of fools as this?"
126,Merry Christmas!
127,"Out upon merry         Christmas!"
128,"What’s Christmas time to you but a time for paying         bills without money;"
129,"a time for finding yourself a year older, but not         an hour richer;"
130,"a time for balancing your books and having every item in         ’em through a round dozen of months presented dead against you?"
131,"If         I could work my will,” said Scrooge indignantly, “every         idiot who goes about with ‘Merry Christmas’ on his lips,         should be boiled with his own pudding, and buried with a stake of holly         through his heart."
132,He should!”
133,“Uncle!”
134,pleaded the nephew.
135,“Nephew!”
136,"returned the uncle sternly, “keep Christmas         in your own way, and let me keep it in mine.”"
137,“Keep it!”
138,repeated Scrooge’s nephew.
139,"“But you         don’t keep it.”"
140,"“Let me leave it alone, then,” said Scrooge."
141,"“Much         good may it do you!"
142,Much good it has ever done you!”
143,"“There are many things from which I might have derived good, by         which I have not profited, I dare say,” returned the nephew. "
144,       “Christmas among the rest.
145,"But I am sure I have always thought of         Christmas time, when it has come round—apart from the veneration         due to its sacred name and origin, if anything belonging to it can be         apart from that—as a good time;"
146,"a kind, forgiving, charitable,         pleasant time;"
147,"the only time I know of, in the long calendar of the         year, when men and women seem by one consent to open their shut-up         hearts freely, and to think of people below them as if they really were         fellow-passengers to the grave, and not another race of creatures bound         on other journeys."
148,"And therefore, uncle, though it has never put a scrap         of gold or silver in my pocket, I believe that it has done me         good, and will do me good;"
149,"and I say, God bless it!”"
150,The clerk in the Tank involuntarily applauded.
151,"Becoming immediately         sensible of the impropriety, he poked the fire, and extinguished the         last frail spark for ever."
152,"“Let me hear another sound from you ,” said Scrooge,         “and you’ll keep your Christmas by losing your situation! "
153,"       You’re quite a powerful speaker, sir,” he added, turning to         his nephew."
154,“I wonder you don’t go into Parliament.”
155,"“Don’t be angry, uncle."
156,Come!
157,Dine with us to-morrow.”
158,"Scrooge said that he would see him—yes, indeed he did."
159,"He went the         whole length of the expression, and said that he would see him in that         extremity first."
160,“But why?”
161,cried Scrooge’s nephew.
162,“Why?”
163,“Why did you get married?”
164,said Scrooge.
165,“Because I fell in love.”
166,“Because you fell in love!”
167,"growled Scrooge, as if that were         the only one thing in the world more ridiculous than a merry Christmas. "
168,       “Good afternoon!”
169,"“Nay, uncle, but you never came to see me before that happened. "
170,       Why give it as a reason for not coming now?”
171,"“Good afternoon,” said Scrooge."
172,“I want nothing from you;
173,I ask nothing of you;
174,"why cannot we be         friends?”"
175,"“Good afternoon,” said Scrooge."
176,"“I am sorry, with all my heart, to find you so resolute."
177,"We have         never had any quarrel, to which I have been a party."
178,"But I have made the         trial in homage to Christmas, and I’ll keep my Christmas humour to         the last."
179,"So A Merry Christmas, uncle!”"
180,“Good afternoon!”
181,said Scrooge.
182,“And A Happy New Year!”
183,“Good afternoon!”
184,said Scrooge.
185,"His nephew left the room without an angry word, notwithstanding."
186,"He         stopped at the outer door to bestow the greetings of the season on the         clerk, who, cold as he was, was warmer than Scrooge;"
187,"for he returned         them cordially."
188,"“There’s another fellow,” muttered Scrooge;"
189,"who         overheard him:"
190,"“my clerk, with fifteen shillings a week, and a         wife and family, talking about a merry Christmas."
191,"I’ll retire to         Bedlam.”"
192,"This lunatic, in letting Scrooge’s nephew out, had let two other         people in."
193,"They were portly gentlemen, pleasant to behold, and now         stood, with their hats off, in Scrooge’s office."
194,"They had books         and papers in their hands, and bowed to him."
195,"“Scrooge and Marley’s, I believe,” said one of the         gentlemen, referring to his list."
196,"“Have I the pleasure of         addressing Mr."
197,"Scrooge, or Mr."
198,Marley?”
199,“Mr.
200,"Marley has been dead these seven years,” Scrooge         replied."
201,"“He died seven years ago, this very night.”"
202,"“We have no doubt his liberality is well represented by his         surviving partner,” said the gentleman, presenting his         credentials."
203,It certainly was;
204,for they had been two kindred spirits.
205,"At the ominous         word “liberality,” Scrooge frowned, and shook his head, and         handed the credentials back."
206,"“At this festive season of the year, Mr."
207,"Scrooge,” said the         gentleman, taking up a pen, “it is more than usually desirable         that we should make some slight provision for the Poor and destitute,         who suffer greatly at the present time."
208,"Many thousands are in want of         common necessaries;"
209,"hundreds of thousands are in want of common         comforts, sir.”"
210,“Are there no prisons?”
211,asked Scrooge.
212,"“Plenty of prisons,” said the gentleman, laying down the pen         again."
213,“And the Union workhouses?”
214,demanded Scrooge.
215,"“Are         they still in operation?”"
216,“They are.
217,"Still,” returned the gentleman, “I wish I         could say they were not.”"
218,"“The Treadmill and the Poor Law are in full vigour, then?” "
219,       said Scrooge.
220,"“Both very busy, sir.”"
221,“Oh!
222,"I was afraid, from what you said at first, that something had         occurred to stop them in their useful course,” said Scrooge. "
223,       “I’m very glad to hear it.”
224,"“Under the impression that they scarcely furnish Christian cheer         of mind or body to the multitude,” returned the gentleman, “a         few of us are endeavouring to raise a fund to buy the Poor some meat and         drink, and means of warmth."
225,"We choose this time, because it is a time,         of all others, when Want is keenly felt, and Abundance rejoices."
226,"What         shall I put you down for?”"
227,“Nothing!”
228,Scrooge replied.
229,“You wish to be anonymous?”
230,"“I wish to be left alone,” said Scrooge."
231,"“Since you         ask me what I wish, gentlemen, that is my answer."
232,"I don’t make         merry myself at Christmas and I can’t afford to make idle people         merry."
233,"I help to support the establishments I have mentioned—they         cost enough;"
234,and those who are badly off must go there.”
235,“Many can’t go there;
236,and many would rather die.”
237,"“If they would rather die,” said Scrooge, “they had         better do it, and decrease the surplus population."
238,"Besides—excuse         me—I don’t know that.”"
239,"“But you might know it,” observed the gentleman."
240,"“It’s not my business,” Scrooge returned."
241,"“It’s         enough for a man to understand his own business, and not to interfere         with other people’s."
242,Mine occupies me constantly.
243,"Good afternoon,         gentlemen!”"
244,"Seeing clearly that it would be useless to pursue their point, the         gentlemen withdrew."
245,"Scrooge resumed his labours with an improved opinion         of himself, and in a more facetious temper than was usual with him."
246,"Meanwhile the fog and darkness thickened so, that people ran about with         flaring links, proffering their services to go before horses in         carriages, and conduct them on their way."
247,"The ancient tower of a church,         whose gruff old bell was always peeping slily down at Scrooge out of a         Gothic window in the wall, became invisible, and struck the hours and         quarters in the clouds, with tremulous vibrations afterwards as if its         teeth were chattering in its frozen head up there."
248,"The cold became         intense."
249,"In the main street, at the corner of the court, some labourers         were repairing the gas-pipes, and had lighted a great fire in a brazier,         round which a party of ragged men and boys were gathered:"
250,"warming their         hands and winking their eyes before the blaze in rapture."
251,"The water-plug         being left in solitude, its overflowings sullenly congealed, and turned         to misanthropic ice."
252,"The brightness of the shops where holly sprigs and         berries crackled in the lamp heat of the windows, made pale faces ruddy         as they passed."
253,"Poulterers’ and grocers’ trades became a         splendid joke:"
254,"a glorious pageant, with which it was next to impossible         to believe that such dull principles as bargain and sale had anything to         do."
255,"The Lord Mayor, in the stronghold of the mighty Mansion House, gave         orders to his fifty cooks and butlers to keep Christmas as a Lord Mayor’s         household should;"
256,"and even the little tailor, whom he had fined five         shillings on the previous Monday for being drunk and bloodthirsty in the         streets, stirred up to-morrow’s pudding in his garret, while his         lean wife and the baby sallied out to buy the beef."
257,"Foggier yet, and colder."
258,"Piercing, searching, biting cold."
259,"If the good         Saint Dunstan had but nipped the Evil Spirit’s nose with a touch         of such weather as that, instead of using his familiar weapons, then         indeed he would have roared to lusty purpose."
260,"The owner of one scant         young nose, gnawed and mumbled by the hungry cold as bones are gnawed by         dogs, stooped down at Scrooge’s keyhole to regale him with a         Christmas carol:"
261,but at the first sound of
262,"“God bless you, merry gentleman!"
263,"May nothing             you dismay!”"
265,"Scrooge seized the ruler with such energy of action, that the singer         fled in terror, leaving the keyhole to the fog and even more congenial         frost."
266,At length the hour of shutting up the counting-house arrived.
267,"With an         ill-will Scrooge dismounted from his stool, and tacitly admitted the         fact to the expectant clerk in the Tank, who instantly snuffed his         candle out, and put on his hat."
268,"“You’ll want all day to-morrow, I suppose?”"
269,"said         Scrooge."
270,"“If quite convenient, sir.”"
271,"“It’s not convenient,” said Scrooge, “and it’s         not fair."
272,"If I was to stop half-a-crown for it, you’d think         yourself ill-used, I’ll be bound?”"
273,The clerk smiled faintly.
274,"“And yet,” said Scrooge, “you don’t think me ill-used, when I pay a day’s wages for no work.”"
275,The clerk observed that it was only once a year.
276,"“A poor excuse for picking a man’s pocket every twenty-fifth         of December!”"
277,"said Scrooge, buttoning his great-coat to the chin. "
278,       “But I suppose you must have the whole day.
279,"Be here all the         earlier next morning.”"
280,The clerk promised that he would;
281,"and Scrooge walked out with a growl. "
282,"       The office was closed in a twinkling, and the clerk, with the long ends         of his white comforter dangling below his waist (for he boasted no         great-coat), went down a slide on Cornhill, at the end of a lane of         boys, twenty times, in honour of its being Christmas Eve, and then ran         home to Camden Town as hard as he could pelt, to play at blindman’s-buff."
283,Scrooge took his melancholy dinner in his usual melancholy tavern;
284,"and         having read all the newspapers, and beguiled the rest of the evening         with his banker’s-book, went home to bed."
285,"He lived in chambers         which had once belonged to his deceased partner."
286,"They were a gloomy         suite of rooms, in a lowering pile of building up a yard, where it had         so little business to be, that one could scarcely help fancying it must         have run there when it was a young house, playing at hide-and-seek with         other houses, and forgotten the way out again."
287,"It was old enough now,         and dreary enough, for nobody lived in it but Scrooge, the other rooms         being all let out as offices."
288,"The yard was so dark that even Scrooge,         who knew its every stone, was fain to grope with his hands."
289,"The fog and         frost so hung about the black old gateway of the house, that it seemed         as if the Genius of the Weather sat in mournful meditation on the         threshold."
290,"Now, it is a fact, that there was nothing at all particular about the         knocker on the door, except that it was very large."
291,"It is also a fact,         that Scrooge had seen it, night and morning, during his whole residence         in that place;"
292,"also that Scrooge had as little of what is called fancy         about him as any man in the city of London, even including—which         is a bold word—the corporation, aldermen, and livery."
293,"Let it also         be borne in mind that Scrooge had not bestowed one thought on Marley,         since his last mention of his seven years’ dead partner that         afternoon."
294,"And then let any man explain to me, if he can, how it         happened that Scrooge, having his key in the lock of the door, saw in         the knocker, without its undergoing any intermediate process of change—not         a knocker, but Marley’s face."
295,Marley’s face.
296,"It was not in impenetrable shadow as the other         objects in the yard were, but had a dismal light about it, like a bad         lobster in a dark cellar."
297,"It was not angry or ferocious, but looked at         Scrooge as Marley used to look:"
298,"with ghostly spectacles turned up on its         ghostly forehead."
299,"The hair was curiously stirred, as if by breath or hot         air;"
300,"and, though the eyes were wide open, they were perfectly         motionless."
301,"That, and its livid colour, made it horrible;"
302,"but its horror         seemed to be in spite of the face and beyond its control, rather than a         part of its own expression."
303,"As Scrooge looked fixedly at this phenomenon, it was a knocker again."
304,"To say that he was not startled, or that his blood was not conscious of         a terrible sensation to which it had been a stranger from infancy, would         be untrue."
305,"But he put his hand upon the key he had relinquished, turned         it sturdily, walked in, and lighted his candle."
306,"He did pause, with a moment’s irresolution, before he shut         the door;"
307,"and he did look cautiously behind it first, as if he         half expected to be terrified with the sight of Marley’s pigtail         sticking out into the hall."
308,"But there was nothing on the back of the         door, except the screws and nuts that held the knocker on, so he said         “Pooh, pooh!”"
309,and closed it with a bang.
310,The sound resounded through the house like thunder.
311,"Every room above,         and every cask in the wine-merchant’s cellars below, appeared to         have a separate peal of echoes of its own."
312,"Scrooge was not a man to be         frightened by echoes."
313,"He fastened the door, and walked across the hall,         and up the stairs;"
314,slowly too:
315,trimming his candle as he went.
316,"You may talk vaguely about driving a coach-and-six up a good old flight         of stairs, or through a bad young Act of Parliament;"
317,"but I mean to say         you might have got a hearse up that staircase, and taken it broadwise,         with the splinter-bar towards the wall and the door towards the         balustrades:"
318,and done it easy.
319,"There was plenty of width for that, and         room to spare;"
320,"which is perhaps the reason why Scrooge thought he saw a         locomotive hearse going on before him in the gloom."
321,"Half-a-dozen         gas-lamps out of the street wouldn’t have lighted the entry too         well, so you may suppose that it was pretty dark with Scrooge’s         dip."
322,"Up Scrooge went, not caring a button for that."
323,"Darkness is cheap, and         Scrooge liked it."
324,"But before he shut his heavy door, he walked through         his rooms to see that all was right."
325,"He had just enough recollection of         the face to desire to do that."
326,"Sitting-room, bedroom, lumber-room."
327,All as they should be.
328,"Nobody under         the table, nobody under the sofa;"
329,a small fire in the grate;
330,"spoon and         basin ready;"
331,"and the little saucepan of gruel (Scrooge had a cold in his         head) upon the hob."
332,Nobody under the bed;
333,nobody in the closet;
334,"nobody         in his dressing-gown, which was hanging up in a suspicious attitude         against the wall."
335,Lumber-room as usual.
336,"Old fire-guard, old shoes, two         fish-baskets, washing-stand on three legs, and a poker."
337,"Quite satisfied, he closed his door, and locked himself in; "
338,"       double-locked himself in, which was not his custom."
339,"Thus secured against         surprise, he took off his cravat;"
340,"put on his dressing-gown and slippers,         and his nightcap;"
341,and sat down before the fire to take his gruel.
342,It was a very low fire indeed;
343,nothing on such a bitter night.
344,"He was         obliged to sit close to it, and brood over it, before he could extract         the least sensation of warmth from such a handful of fuel."
345,"The fireplace         was an old one, built by some Dutch merchant long ago, and paved all         round with quaint Dutch tiles, designed to illustrate the Scriptures. "
346,"       There were Cains and Abels, Pharaoh’s daughters;"
347,"Queens of Sheba,         Angelic messengers descending through the air on clouds like         feather-beds, Abrahams, Belshazzars, Apostles putting off to sea in         butter-boats, hundreds of figures to attract his thoughts;"
348,"and yet that         face of Marley, seven years dead, came like the ancient Prophet’s         rod, and swallowed up the whole."
349,"If each smooth tile had been a blank at         first, with power to shape some picture on its surface from the         disjointed fragments of his thoughts, there would have been a copy of         old Marley’s head on every one."
350,“Humbug!”
351,said Scrooge;
352,and walked across the room.
353,"After several turns, he sat down again."
354,"As he threw his head back in the         chair, his glance happened to rest upon a bell, a disused bell, that         hung in the room, and communicated for some purpose now forgotten with a         chamber in the highest story of the building."
355,"It was with great         astonishment, and with a strange, inexplicable dread, that as he looked,         he saw this bell begin to swing."
356,"It swung so softly in the outset that         it scarcely made a sound;"
357,"but soon it rang out loudly, and so did every         bell in the house."
358,"This might have lasted half a minute, or a minute, but it seemed an         hour."
359,"The bells ceased as they had begun, together."
360,"They were succeeded         by a clanking noise, deep down below;"
361,"as if some person were dragging a         heavy chain over the casks in the wine-merchant’s cellar."
362,"Scrooge         then remembered to have heard that ghosts in haunted houses were         described as dragging chains."
363,"The cellar-door flew open with a booming sound, and then he heard the         noise much louder, on the floors below;"
364,then coming up the stairs;
365,"then         coming straight towards his door."
366,“It’s humbug still!”
367,said Scrooge.
368,"“I won’t         believe it.”"
369,"His colour changed though, when, without a pause, it came on through the         heavy door, and passed into the room before his eyes."
370,"Upon its coming         in, the dying flame leaped up, as though it cried, “I know him; "
371,       Marley’s Ghost!”
372,and fell again.
374,Marley’s Ghost
375,The same face:
376,the very same.
377,"Marley in his pigtail, usual waistcoat,         tights and boots;"
378,"the tassels on the latter bristling, like his pigtail,         and his coat-skirts, and the hair upon his head."
379,"The chain he drew was         clasped about his middle."
380,"It was long, and wound about him like a tail; "
381,"       and it was made (for Scrooge observed it closely) of cash-boxes, keys,         padlocks, ledgers, deeds, and heavy purses wrought in steel."
382,"His body         was transparent;"
383,"so that Scrooge, observing him, and looking through his         waistcoat, could see the two buttons on his coat behind."
384,"Scrooge had often heard it said that Marley had no bowels, but he had         never believed it until now."
385,"No, nor did he believe it even now."
386,"Though he looked the phantom through         and through, and saw it standing before him;"
387,"though he felt the chilling         influence of its death-cold eyes;"
388,"and marked the very texture of the         folded kerchief bound about its head and chin, which wrapper he had not         observed before;"
389,"he was still incredulous, and fought against his         senses."
390,“How now!”
391,"said Scrooge, caustic and cold as ever."
392,"“What         do you want with me?”"
393,“Much!”—Marley’s
394,"voice, no doubt about it."
395,“Who are you?”
396,“Ask me who I was .”
397,“Who were you then?”
398,"said Scrooge, raising his voice. "
399,"       “You’re particular, for a shade.”"
400,"He was going to say         “ to a shade,” but substituted this, as more         appropriate."
401,"“In life I was your partner, Jacob Marley.”"
402,“Can you—can you sit down?”
403,"asked Scrooge, looking         doubtfully at him."
404,“I can.”
405,"“Do it, then.”"
406,"Scrooge asked the question, because he didn’t know whether a ghost         so transparent might find himself in a condition to take a chair;"
407,"and         felt that in the event of its being impossible, it might involve the         necessity of an embarrassing explanation."
408,"But the ghost sat down on the         opposite side of the fireplace, as if he were quite used to it."
409,"“You don’t believe in me,” observed the Ghost."
410,"“I don’t,” said Scrooge."
411,"“What evidence would you have of my reality beyond that of your         senses?”"
412,"“I don’t know,” said Scrooge."
413,“Why do you doubt your senses?”
414,"“Because,” said Scrooge, “a little thing affects them. "
415,       A slight disorder of the stomach makes them cheats.
416,"You may be an         undigested bit of beef, a blot of mustard, a crumb of cheese, a fragment         of an underdone potato."
417,"There’s more of gravy than of grave about         you, whatever you are!”"
418,"Scrooge was not much in the habit of cracking jokes, nor did he feel, in         his heart, by any means waggish then."
419,"The truth is, that he tried to be         smart, as a means of distracting his own attention, and keeping down his         terror;"
420,"for the spectre’s voice disturbed the very marrow in his         bones."
421,"To sit, staring at those fixed glazed eyes, in silence for a moment,         would play, Scrooge felt, the very deuce with him."
422,"There was something         very awful, too, in the spectre’s being provided with an infernal         atmosphere of its own."
423,"Scrooge could not feel it himself, but this was         clearly the case;"
424,"for though the Ghost sat perfectly motionless, its         hair, and skirts, and tassels, were still agitated as by the hot vapour         from an oven."
425,“You see this toothpick?”
426,"said Scrooge, returning quickly to         the charge, for the reason just assigned;"
427,"and wishing, though it were         only for a second, to divert the vision’s stony gaze from himself."
428,"“I do,” replied the Ghost."
429,"“You are not looking at it,” said Scrooge."
430,"“But I see it,” said the Ghost, “notwithstanding.”"
431,“Well!”
432,"returned Scrooge, “I have but to swallow this,         and be for the rest of my days persecuted by a legion of goblins, all of         my own creation."
433,"Humbug, I tell you!"
434,humbug!”
435,"At this the spirit raised a frightful cry, and shook its chain with such         a dismal and appalling noise, that Scrooge held on tight to his chair,         to save himself from falling in a swoon."
436,"But how much greater was his         horror, when the phantom taking off the bandage round its head, as if it         were too warm to wear indoors, its lower jaw dropped down upon its         breast!"
437,"Scrooge fell upon his knees, and clasped his hands before his face."
438,“Mercy!”
439,he said.
440,"“Dreadful apparition, why do you         trouble me?”"
441,“Man of the worldly mind!”
442,"replied the Ghost, “do you         believe in me or not?”"
443,"“I do,” said Scrooge."
444,“I must.
445,"But why do spirits walk         the earth, and why do they come to me?”"
446,"“It is required of every man,” the Ghost returned, “that         the spirit within him should walk abroad among his fellowmen, and travel         far and wide;"
447,"and if that spirit goes not forth in life, it is condemned         to do so after death."
448,"It is doomed to wander through the world—oh,         woe is me!—and"
449,"witness what it cannot share, but might have shared         on earth, and turned to happiness!”"
450,"Again the spectre raised a cry, and shook its chain and wrung its         shadowy hands."
451,"“You are fettered,” said Scrooge, trembling."
452,"“Tell me         why?”"
453,"“I wear the chain I forged in life,” replied the Ghost. "
454,"       “I made it link by link, and yard by yard;"
455,"I girded it on of my         own free will, and of my own free will I wore it."
456,"Is its pattern strange         to you?"
457,” Scrooge trembled more and more.
458,"“Or would you know,” pursued the Ghost, “the weight         and length of the strong coil you bear yourself?"
459,"It was full as heavy         and as long as this, seven Christmas Eves ago."
460,"You have laboured on it,         since."
461,It is a ponderous chain!”
462,"Scrooge glanced about him on the floor, in the expectation of finding         himself surrounded by some fifty or sixty fathoms of iron cable:"
463,"but he         could see nothing."
464,"“Jacob,” he said, imploringly."
465,"“Old Jacob Marley, tell         me more."
466,"Speak comfort to me, Jacob!”"
467,"“I have none to give,” the Ghost replied."
468,"“It comes         from other regions, Ebenezer Scrooge, and is conveyed by other         ministers, to other kinds of men."
469,Nor can I tell you what I would.
470,"A         very little more is all permitted to me."
471,"I cannot rest, I cannot stay, I         cannot linger anywhere."
472,"My spirit never walked beyond our counting-house—mark         me!—in"
473,"life my spirit never roved beyond the narrow limits of our         money-changing hole;"
474,and weary journeys lie before me!”
475,"It was a habit with Scrooge, whenever he became thoughtful, to put his         hands in his breeches pockets."
476,"Pondering on what the Ghost had said, he         did so now, but without lifting up his eyes, or getting off his knees."
477,"“You must have been very slow about it, Jacob,” Scrooge         observed, in a business-like manner, though with humility and deference."
478,“Slow!”
479,the Ghost repeated.
480,"“Seven years dead,” mused Scrooge."
481,"“And travelling all         the time!”"
482,"“The whole time,” said the Ghost."
483,"“No rest, no peace. "
484,       Incessant torture of remorse.”
485,“You travel fast?”
486,said Scrooge.
487,"“On the wings of the wind,” replied the Ghost."
488,"“You might have got over a great quantity of ground in seven         years,” said Scrooge."
489,"The Ghost, on hearing this, set up another cry, and clanked its chain so         hideously in the dead silence of the night, that the Ward would have         been justified in indicting it for a nuisance."
490,“Oh!
491,"captive, bound, and double-ironed,” cried the phantom,         “not to know, that ages of incessant labour by immortal creatures,         for this earth must pass into eternity before the good of which it is         susceptible is all developed."
492,"Not to know that any Christian spirit         working kindly in its little sphere, whatever it may be, will find its         mortal life too short for its vast means of usefulness."
493,"Not to know that         no space of regret can make amends for one life’s opportunity         misused!"
494,Yet such was I!
495,Oh!
496,such was I!”
497,"“But you were always a good man of business, Jacob,”         faltered Scrooge, who now began to apply this to himself."
498,“Business!”
499,"cried the Ghost, wringing its hands again. "
500,       “Mankind was my business.
501,"The common welfare was my business; "
502,"       charity, mercy, forbearance, and benevolence, were, all, my business. "
503,"       The dealings of my trade were but a drop of water in the comprehensive         ocean of my business!”"
504,"It held up its chain at arm’s length, as if that were the cause of         all its unavailing grief, and flung it heavily upon the ground again."
505,"“At this time of the rolling year,” the spectre said,         “I suffer most."
506,"Why did I walk through crowds of fellow-beings         with my eyes turned down, and never raise them to that blessed Star         which led the Wise Men to a poor abode!"
507,"Were there no poor homes to         which its light would have conducted me!"
